chromosome_name,start_position,end_position,strand,hgnc_symbol,ensembl_gene_id
22,19447763,19450105,1,UFD1-AS1,ENSG00000185065
22,19449911,19479215,-1,UFD1,ENSG00000070010
22,19454179,19454605,1,"",ENSG00000273300
22,19456503,19456962,1,"",ENSG00000273212
22,19479457,19520612,1,CDC45,ENSG00000093009
22,19517453,19522769,-1,"",ENSG00000287652
22,19523024,19527545,-1,CLDN5,ENSG00000184113
22,19551558,19566839,-1,LINC00895,ENSG00000281548
22,19579814,19587025,-1,"",ENSG00000302501
22,19597778,19598642,-1,"",ENSG00000305857
22,19630750,19633574,-1,"",ENSG00000230485
22,19666899,19667735,1,"",ENSG00000225007
22,19687923,19693581,1,"",ENSG00000304282
22,19708983,19714838,-1,"",ENSG00000304096
22,19714467,19724224,1,SEPTIN5,ENSG00000184702
22,19717220,19724772,1,"",ENSG00000284874
22,19723539,19724776,1,GP1BB,ENSG00000203618
22,19727249,19735909,1,"",ENSG00000298759
22,19748522,19749106,-1,"",ENSG00000306238
22,19750531,19751330,1,"",ENSG00000298407
22,19756703,19783593,1,TBX1,ENSG00000184058
22,19783223,19854939,-1,GNB1L,ENSG00000185838
22,19792294,19793094,1,RPL7AP70,ENSG00000235776
22,19804904,19809428,1,"",ENSG00000302740
22,19846138,19854896,-1,RTL10,ENSG00000215012
22,19854910,19867420,1,"",ENSG00000289960
22,19875517,19941820,-1,TXNRD2,ENSG00000184470
22,19887289,19887970,1,RPL8P5,ENSG00000232926
22,19933661,19939498,1,"",ENSG00000289946
22,19941371,19969975,1,COMT,ENSG00000093010
22,19963753,19963834,1,MIR4761,ENSG00000284031
22,19969892,20016823,-1,ARVCF,ENSG00000099889
22,20016615,20067164,1,TANGO2,ENSG00000183597
22,20033139,20033220,1,MIR185,ENSG00000208023
22,20058030,20070569,-1,"",ENSG00000236540
22,20064552,20065705,-1,"",ENSG00000268292
22,20070716,20070965,1,"",ENSG00000277950
22,20080035,20111877,1,DGCR8,ENSG00000128191
22,20080798,20081584,-1,"",ENSG00000307654
22,20085746,20085833,1,MIR3618,ENSG00000284140
22,20086058,20086142,1,MIR1306,ENSG00000284464
22,20110821,20111875,-1,"",ENSG00000243762
22,20111875,20117392,-1,TRMT2A,ENSG00000099899
22,20114686,20114751,-1,MIR6816,ENSG00000278278
22,20115877,20127355,1,RANBP1,ENSG00000099901
22,20126402,20126526,1,SNORA77B,ENSG00000264346
22,20129456,20148007,1,ZDHHC8,ENSG00000099904
22,20148416,20151055,-1,CCDC188,ENSG00000234409
22,20151796,20155468,-1,"",ENSG00000299199
22,20198729,20212221,-1,LINC02891,ENSG00000249923
22,20206340,20235981,1,LINC00896,ENSG00000236499
22,20226761,20228564,-1,"",ENSG00000307165
22,20241415,20283246,-1,RTN4R,ENSG00000040608
22,20249134,20249211,-1,MIR1286,ENSG00000221039
22,20299760,20313216,1,PRODHLP,ENSG00000161132
22,20314238,20320080,-1,DGCR6L,ENSG00000128185
22,20318119,20318749,-1,"",ENSG00000273343
22,20320104,20321406,1,"",ENSG00000273139
22,20335732,20338859,-1,"",ENSG00000309819
22,20337895,20354372,1,FAM230G,ENSG00000188280
22,20343198,20372718,-1,"",ENSG00000290950
22,20363621,20377251,-1,USP41P,ENSG00000161133
22,20394115,20408461,1,ZNF74,ENSG00000185252
22,20416797,20416899,-1,RNU6-225P,ENSG00000207343
22,20418310,20420314,1,"",ENSG00000301723
22,20424584,20437944,-1,SCARF2,ENSG00000244486
22,20425347,20443364,1,"",ENSG00000305663
22,20429241,20446620,-1,"",ENSG00000277971
22,20441519,20496893,-1,KLHL22,ENSG00000099910
22,20450122,20451824,1,KLHL12P1,ENSG00000215493
22,20475203,20475311,-1,RNY1P9,ENSG00000255156
22,20481158,20481268,1,"",ENSG00000201916
22,20481935,20482213,-1,RN7SL812P,ENSG00000242876
22,20482815,20484105,-1,KRT18P5,ENSG00000236670
22,20495913,20587632,1,MED15,ENSG00000099917
22,20522070,20523870,-1,"",ENSG00000236003
22,20563737,20567074,-1,"",ENSG00000307622
22,20587496,20592218,-1,CCDC74BP1,ENSG00000250261
22,20587585,20592235,-1,"",ENSG00000307604
22,20602595,20626134,-1,SMPD4P1,ENSG00000223553
22,20616230,20656986,-1,"",ENSG00000290981
22,20631168,20632961,1,"",ENSG00000294629
22,20632619,20632751,1,IGLL4P,ENSG00000276427
22,20652730,20654750,1,SLC9A3P2,ENSG00000238125
22,20667836,20670984,-1,ABHD17AP4,ENSG00000229107
22,20689929,20698938,1,POM121L4P,ENSG00000217261
22,20690031,20691317,1,"",ENSG00000290982
22,20695438,20704239,-1,"",ENSG00000303205
22,20695633,20698399,1,"",ENSG00000303227
22,20697962,20698934,-1,BCRP5,ENSG00000235062
22,20701114,20704617,1,"",ENSG00000291085
22,20702007,20704490,1,TMEM191A,ENSG00000226287
22,20707691,20859417,-1,PI4KA,ENSG00000241973
22,20774112,20787721,1,SERPIND1,ENSG00000099937
22,20858537,20891214,1,SNAP29,ENSG00000099940
22,20889206,20891214,-1,"",ENSG00000272600
22,20917407,20953747,1,CRKL,ENSG00000099942
22,20957092,20964881,1,LINC01637,ENSG00000237476
22,20965108,20981364,1,AIFM3,ENSG00000183773
22,20979462,20998121,1,"",ENSG00000285314
22,20981351,20982233,-1,"",ENSG00000272829
22,20982223,20999035,1,LZTR1,ENSG00000099949
22,20999104,21002196,-1,THAP7,ENSG00000184436
22,21001536,21010342,1,THAP7-AS1,ENSG00000230513
22,21002895,21009453,-1,"",ENSG00000284060
22,21008193,21014292,-1,TUBA3FP,ENSG00000284130
22,21008247,21032572,-1,"",ENSG00000291240
22,21009808,21028013,1,P2RX6,ENSG00000099957
22,21028718,21032933,-1,SLC7A4,ENSG00000099960
22,21031354,21044117,1,"",ENSG00000226872
22,21034176,21034272,-1,MIR649,ENSG00000207575
22,21035233,21045741,-1,"",ENSG00000290799
22,21042343,21045017,-1,P2RX6P,ENSG00000206145
22,21045946,21064168,1,LRRC74B,ENSG00000187905
22,21065462,21070097,1,TUBA3GP,ENSG00000249680
22,21071082,21081018,-1,"",ENSG00000284665
22,21102861,21170655,1,"",ENSG00000291044
22,21114570,21124451,-1,"",ENSG00000197210
22,21115929,21119758,1,BCRP2,ENSG00000169668
22,21125660,21128063,-1,POM121L7P,ENSG00000239511
22,21141624,21142371,-1,E2F6P2,ENSG00000224688
22,21163681,21166933,-1,"",ENSG00000297777
22,21166079,21192161,1,FAM230B,ENSG00000215498
22,21177892,21179875,-1,"",ENSG00000234503
22,21192787,21204034,-1,"",ENSG00000290961
22,21203454,21203631,-1,FAM247A,ENSG00000283972
22,21207972,21294616,-1,"",ENSG00000290983
22,21207973,21225554,-1,GGT2P,ENSG00000133475
22,21228760,21229138,-1,"",ENSG00000283145
22,21268161,21268903,1,E2F6P3,ENSG00000226885
22,21282881,21284161,1,POM121L8P,ENSG00000229266
22,21290760,21294586,-1,BCRP6,ENSG00000169662
22,21290990,21292541,1,"",ENSG00000301876
22,21300990,21326741,-1,FAM230H,ENSG00000206142
22,21312920,21314904,1,"",ENSG00000237407
22,21326697,21332962,1,"",ENSG00000303017
22,21341595,21345258,1,PPP1R26P5,ENSG00000232771
22,21354563,21358067,1,LINC01651,ENSG00000279920
22,21359582,21368788,-1,"",ENSG00000306955
22,21360601,21361299,-1,FAM246A,ENSG00000286102
22,21370064,21371945,1,SUSD2P1,ENSG00000226534
22,21379382,21379701,-1,"",ENSG00000273846
22,21383751,21389478,1,RIMBP3B,ENSG00000274600
22,21389191,21389491,1,RN7SKP63,ENSG00000200057
22,21389796,21389938,-1,"",ENSG00000252020
22,21396273,21396590,-1,"",ENSG00000275840
22,21416504,21451463,1,HIC2,ENSG00000169635
22,21418732,21439973,1,"",ENSG00000303940
22,21463963,21464279,1,"",ENSG00000276800
22,21466423,21471269,1,TMEM191C,ENSG00000206140
22,21472998,21518463,-1,"",ENSG00000293427
22,21473059,21488358,-1,PI4KAP2,ENSG00000183506
22,21490664,21512462,1,"",ENSG00000295071
22,35075867,35231064,-1,"",ENSG00000293220
22,35122661,35127419,1,"",ENSG00000273068
22,35164304,35165347,1,"",ENSG00000238153
22,35194699,35194942,-1,LINC01399,ENSG00000233080
22,35232631,35258387,-1,"",ENSG00000303430
22,35241465,35255753,1,"",ENSG00000303454
22,35249772,35249833,1,RNU7-167P,ENSG00000238584
22,35257452,35295807,1,HMGXB4,ENSG00000100281
22,35298838,35299541,-1,"",ENSG00000273176
22,35299275,35347995,1,TOM1,ENSG00000100284
22,35335640,35335758,1,MIR3909,ENSG00000266320
22,35336721,35336799,-1,MIR6069,ENSG00000274280
22,35372174,35372621,1,"",ENSG00000282602
22,35376422,35377261,1,"",ENSG00000282041
22,35380361,35394214,1,HMOX1,ENSG00000100292
22,35400123,35425431,1,MCM5,ENSG00000100297
22,35501861,35503586,-1,TRMT112P8,ENSG00000233388
22,35526932,35527415,1,"",ENSG00000273044
22,35539796,35554003,1,RASD2,ENSG00000100302
22,35563570,35587706,-1,"",ENSG00000304364
22,35591913,35598380,1,"",ENSG00000304386
22,35603958,35604880,-1,"",ENSG00000288777
22,35606764,35637951,-1,MB,ENSG00000198125
22,35626988,35635134,-1,"",ENSG00000268818
22,35648386,35668404,1,APOL6,ENSG00000221963
22,35685940,35689373,1,"",ENSG00000228587
22,35703803,35704176,1,MRPS16P3,ENSG00000226336
22,35717872,35729483,1,APOL5,ENSG00000128313
22,35738736,36028824,-1,RBFOX2,ENSG00000100320
22,35834402,35836801,1,"",ENSG00000294483
22,35838259,35839935,-1,"",ENSG00000294512
22,35838583,35838657,-1,"",ENSG00000293594
22,35897270,35898404,-1,NDUFA9P1,ENSG00000237406
22,35992321,36000469,1,"",ENSG00000279652
22,36030589,36038797,1,"",ENSG00000299784
22,36056391,36066064,-1,"",ENSG00000307640
22,36066533,36070110,1,"",ENSG00000279927
22,36071000,36085573,1,"",ENSG00000279217
22,36091148,36093352,1,"",ENSG00000279714
22,36133017,36135553,-1,"",ENSG00000304491
22,36137430,36139350,-1,"",ENSG00000279805
22,36139792,36166177,-1,APOL3,ENSG00000128284
22,36172422,36172779,1,MTCO1P20,ENSG00000233764
22,36172934,36173948,1,MTCO2P20,ENSG00000231576
22,36174261,36174822,1,MTATP6P20,ENSG00000237948
22,36175167,36175854,1,MTCO3P20,ENSG00000225557
22,36175857,36176526,1,MTCYBP34,ENSG00000237129
22,36178554,36179385,1,MTND1P10,ENSG00000229088
22,36189124,36204840,-1,APOL4,ENSG00000100336
22,36220535,36222148,1,"",ENSG00000288778
22,36226209,36239954,-1,APOL2,ENSG00000128335
22,36253071,36267530,1,APOL1,ENSG00000100342
22,36281279,36388010,-1,MYH9,ENSG00000100345
22,36286847,36286907,-1,MIR6819,ENSG00000278420
22,36335217,36343530,1,"",ENSG00000287269
22,36387774,36424052,1,MYH9-DT,ENSG00000223695
22,36421273,36421644,-1,RPS15AP38,ENSG00000237668
22,36440880,36440970,-1,"",ENSG00000252225
22,36445067,36462247,-1,"",ENSG00000228719
22,36465701,36466416,1,"",ENSG00000297762
22,36466895,36482072,-1,TXN2,ENSG00000100348
22,36471206,36472146,1,"",ENSG00000294928
22,36487190,36507221,-1,FOXRED2,ENSG00000100350
22,36510850,36529245,-1,EIF3D,ENSG00000100353
22,36525246,36528109,1,"",ENSG00000302270
22,36536656,36537604,-1,"",ENSG00000188078
22,36552165,36552700,1,"",ENSG00000229971
22,36560857,36703752,-1,CACNG2,ENSG00000166862
22,36560870,36562915,-1,"",ENSG00000261675
22,36703577,36753050,1,CACNG2-DT,ENSG00000234688
22,36754086,36755731,-1,"",ENSG00000287773
22,36758202,36776309,-1,IFT27,ENSG00000100360
22,36766478,36769022,1,"",ENSG00000286485
22,36800682,36819479,-1,PVALB,ENSG00000100362
22,36816326,36819736,1,"",ENSG00000234979
22,36847367,36870486,-1,NCF4-AS1,ENSG00000183822
22,36860988,36878017,1,NCF4,ENSG00000100365
22,36888030,36902025,-1,"",ENSG00000309920
22,36911035,36926023,-1,"",ENSG00000304449
22,36913628,36940443,1,CSF2RB,ENSG00000100368
22,36950084,36954665,-1,"",ENSG00000309254
22,36950529,36953723,-1,CSF2RBP1,ENSG00000232254
22,36957765,36963497,-1,"",ENSG00000304026
22,36965248,36968172,1,"",ENSG00000215403
22,36991120,37007851,-1,CIMIP4,ENSG00000185264
22,37010859,37024797,-1,TST,ENSG00000128311
22,37013225,37013319,1,"",ENSG00000252412
22,37019635,37029822,1,MPST,ENSG00000128309
22,37033082,37035517,1,"",ENSG00000287236
22,37043858,37051314,-1,"",ENSG00000306187
22,37051739,37063390,1,KCTD17,ENSG00000100379
22,37055033,37055347,-1,RN7SKP214,ENSG00000201078
22,37065005,37110890,-1,TMPRSS6,ENSG00000187045
22,37080068,37082847,1,"",ENSG00000231467
22,37109686,37110676,1,"",ENSG00000294412
22,37118666,37176676,-1,IL2RB,ENSG00000100385
22,37166743,37182931,1,IL2RB-AS1,ENSG00000235237
22,37180166,37199385,-1,C1QTNF6,ENSG00000133466
22,37202652,37203900,-1,"",ENSG00000294472
22,37204237,37212477,-1,SSTR3,ENSG00000278195
22,37215738,37215891,-1,RPL39P41,ENSG00000226233
22,37225270,37259594,-1,RAC2,ENSG00000128340
22,37266176,37274650,-1,"",ENSG00000296310
22,37282027,37315346,1,CYTH4,ENSG00000100055
22,37291179,37337357,-1,"",ENSG00000298470
22,37318887,37324490,1,"",ENSG00000298537
22,37334637,37340504,1,"",ENSG00000298513
22,37339565,37427445,-1,"",ENSG00000243902
22,37339569,37355297,-1,"",ENSG00000237862
22,37367960,37427479,-1,ELFN2,ENSG00000166897
22,37371684,37372858,1,"",ENSG00000272694
22,37427212,37459110,1,"",ENSG00000298484
22,37469063,37486402,-1,MFNG,ENSG00000100060
22,37490362,37519542,-1,CARD10,ENSG00000100065
22,37522752,37546136,-1,"",ENSG00000305681
22,37549972,37551735,1,"",ENSG00000225867
22,37555112,37569764,1,CDC42EP1,ENSG00000128283
22,37570248,37582616,-1,LGALS2,ENSG00000100079
22,37578669,37578922,1,"",ENSG00000273866
22,37601940,37602722,1,"",ENSG00000310096
22,37603925,37608705,-1,"",ENSG00000298665
22,37608474,37633564,1,GGA1,ENSG00000100083
22,37634654,37656117,1,SH3BP1,ENSG00000100092
22,37639693,37666932,1,"",ENSG00000285304
22,37641832,37658377,-1,PDXP-DT,ENSG00000233360
22,37658723,37666932,1,PDXP,ENSG00000241360
22,37669464,37669739,-1,RN7SL385P,ENSG00000241333
22,37675636,37679805,1,LGALS1,ENSG00000100097
22,37676833,37677284,-1,"",ENSG00000302134
22,37681673,37693476,1,NOL12,ENSG00000273899
22,37686414,37726503,1,"",ENSG00000100101
22,37697048,37776556,1,TRIOBP,ENSG00000100106
22,37744310,37751839,-1,"",ENSG00000307365
22,37805229,37807432,1,H1-0,ENSG00000189060
22,37807872,37817386,1,GCAT,ENSG00000100116
22,37822198,37825485,1,GALR3,ENSG00000128310
22,37830853,37849327,-1,ANKRD54,ENSG00000100124
22,37844272,37844371,-1,MIR658,ENSG00000284197
22,37847678,37847774,-1,MIR659,ENSG00000207696
22,37848868,37889407,1,EIF3L,ENSG00000100129
22,37876148,37895563,1,"",ENSG00000279738
22,37885364,37895450,-1,"",ENSG00000296723
22,37891347,37891448,1,RNU6-900P,ENSG00000207227
22,37905657,37942822,1,MICALL1,ENSG00000100139
22,37943050,37944898,1,"",ENSG00000278948
22,37943050,37953669,-1,C22orf23,ENSG00000128346
22,37950965,37951778,1,"",ENSG00000272582
22,37952607,38041915,1,POLR2F,ENSG00000100142
22,37967563,37967624,1,MIR6820,ENSG00000284289
22,37970686,37987422,-1,SOX10,ENSG00000100146
22,37988794,37988853,1,MIR4534,ENSG00000284266
22,38032165,38034228,-1,"",ENSG00000222044
22,38043230,38043920,1,"",ENSG00000273214
22,38056311,38075719,1,PICK1,ENSG00000100151
22,38057180,38073940,-1,"",ENSG00000233739
22,38078134,38084184,-1,SLC16A8,ENSG00000100156
22,38084652,38111015,-1,BAIAP2L2,ENSG00000128298
22,38090127,38091559,1,"",ENSG00000272720
22,38111495,38214778,-1,PLA2G6,ENSG00000184381
22,38130216,38150612,1,"",ENSG00000279080
22,38194270,38203469,-1,"",ENSG00000298301
22,38200767,38216511,1,MAFF,ENSG00000185022
22,38219290,38273805,-1,TMEM184B,ENSG00000198792
22,38231320,38232248,1,TMEM184B-AS1,ENSG00000235246
22,38231720,38231993,1,RN7SL704P,ENSG00000241693
22,38281028,38281289,-1,"",ENSG00000277385
22,38290691,38320044,-1,CSNK1E,ENSG00000213923
22,38291918,38398522,-1,TPTEP2-CSNK1E,ENSG00000283900
22,38335300,38398929,-1,"",ENSG00000291015
22,38361381,38384096,-1,TPTEP2,ENSG00000244627
22,38387918,38388857,-1,"",ENSG00000229955
22,38408314,38423933,-1,"",ENSG00000286144
22,38424288,38432308,1,"",ENSG00000228620
22,38426327,38455639,-1,KCNJ4,ENSG00000168135
22,38434307,38436686,1,"",ENSG00000286440
22,38441894,38444278,-1,"",ENSG00000307538
22,38457322,38461677,-1,"",ENSG00000306993
22,38468043,38483447,1,KDELR3,ENSG00000100196
22,38483438,38507660,-1,DDX17,ENSG00000100201
22,38506469,38510893,1,"",ENSG00000300440
22,38518905,38570211,-1,DMC1,ENSG00000100206
22,38570264,38571213,1,"",ENSG00000300451
22,38574931,38575431,-1,RPS29P31,ENSG00000224279
22,38578118,38656629,-1,FAM227A,ENSG00000184949
22,38654073,38655547,1,"",ENSG00000293718
22,38656375,38673868,1,CBY1,ENSG00000100211
22,38666508,38668750,-1,"",ENSG00000230912
