gene,ensemblid,chr,pm_ld,age_stage4,age_stage7,age_stage4_num,age_stage7_num,age_stage7_mya,age_genetree_num,age_phylos_num,age_protein_num,gene_age_num,Gene length (bp),CDS Length,CDS/Transcript Length ratio,Transcript length (bp),Protein size (aa),Transcript count,GC content,Number of SNPs (Gene),Exon Counts,Intron Counts,Number of SNPs (Transcript),LOEUF,pLI,Missense/Synonymous ratio,Nonsense/Synonymous ratio,Mouse dS value,Chimp dS value,Gorilla dS value,pLI_class,LOEUF_class,dN/dS ratio mouse,dN/dS ratio Chimp,dN/dS ratio Gorilla,pm_pleio3,pm_pleio5,pm10,pm100,group_id,ifhsd2,pn_ld,pn_pleio3,pn_pleio5,pn10,pn100,cis_egene,cis_sgene,trans_egene,iftf,tf_sum,tau,ogee_connectivity,enhancer_n,po_pergene,essential_score,GES,GES_class,ifspecific,pn_ld_clumped_snps,pn_mean_maf,pn_median_maf,pm_ld_clumped_snps,pm_mean_maf,pm_median_maf,high_pn,high_pm,length_bin,snp_bin,ld_bin,maf_bin,Euteleostomi,Eutheria
AADACL4,ENSG00000204518,1,5.7208233901093,Tetrapoda,Tetrapoda,2,2,352,2,,1,132,1575,1224,0.777142857,1575,407,1,47.24,4934,4,3,4934,1.3055,0.10147625,2.866071429,0.080357143,,0.0125,0.0254,Intermediate,Tolerant,,0.456,0.448818898,Low pleiotropy,1st,2,14,8,Duplicates,8.53503076864545,Intermediate pleiotropy,2nd,4,33,FALSE,FALSE,FALSE,FALSE,7,0.986858826,,15,32,0.0152283421501902,-0.0152283421501902,Non_essentialty,Specific,2,0.036999,0.036999,2,0.05326865,0.05326865,FALSE,FALSE,"[211,2.35e+03]","(4.34e+03,8.75e+03]","[1,2]","[0.00191,0.0795]",FALSE,FALSE
AADAT,ENSG00000109576,4,6.09888566072927,Euteleostomi,Euteleostomi,1,1,429,1,1,1,4290,2970,1278,0.568,2250,425,8,38.78,6515,13,12,5988,0.649857142857143,0.4535295,1.784313725,0.019607843,0.583,0.018,0.0212,Intermediate,Tolerant,0.294854202,0.283333333,0.146226415,Intermediate pleiotropy,3rd,5,46,,Singletons,9.25647199693445,Intermediate pleiotropy,3rd,5,48,FALSE,FALSE,FALSE,FALSE,9,0.412744781,8,22,18,-0.0681471715134687,0.0681471715134687,Non_essentialty,Non_specific,2,0.188858,0.188858,2,0.188858,0.188858,FALSE,FALSE,"(2.35e+03,3.74e+03]","(4.34e+03,8.75e+03]","[1,2]","(0.152,0.243]",TRUE,FALSE
AAED1,ENSG00000158122,9,5.77190425515281,,,,,,2,,2,680,3098,681,0.234908589,2899,226,4,43.42,3396,6,5,3396,,,2.709090909,0.218181818,0.4417,0.0095,,,,0.148517093,0.463157895,,Low pleiotropy,1st,2,18,,Singletons,7.76452578078949,Low pleiotropy,1st,2,19,FALSE,FALSE,FALSE,FALSE,,0.27511635,,8,36,,,,Non_specific,2,0.0741145,0.0741145,2,0.0741145,0.0741145,FALSE,FALSE,"(2.35e+03,3.74e+03]","(1.92e+03,4.34e+03]","[1,2]","[0.00191,0.0795]",FALSE,FALSE
AAGAB,ENSG00000103591,15,7.93970578665048,Euteleostomi,Euteleostomi,1,1,429,1,,4,680,3833,948,0.333685322,2841,315,7,39.49,10600,10,9,10402,1.3773,0.0001056100462,3.011627907,0.139534884,0.5611,0.0147,,Tolerant,Tolerant,0.146676172,0.102040816,,High pleiotropy,5th,10,92,,Singletons,14.8274065955961,High pleiotropy,5th,10,96,TRUE,FALSE,FALSE,FALSE,12,0.1663654,,40,27,0.0379637935834745,-0.0379637935834745,Non_essentialty,Non_specific,1,0.470477,0.470477,1,0.230349,0.230349,TRUE,TRUE,"(3.74e+03,5.4e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.353,0.5]",TRUE,FALSE
AAK1,ENSG00000115977,2,6.95060719071201,Euteleostomi,Euteleostomi,1,1,429,1,1,2,645,24843,2886,0.136408754,21157,961,13,41.95,42487,22,21,36249,0.522222222222222,0.787532555555556,1.822222222,0.025925926,0.3388,0.0095,0.0186,Intermediate,Intolerant,0.128394333,0.305263158,0.155913978,Intermediate pleiotropy,4th,8,80,,Singletons,12.595283951076,High pleiotropy,5th,9,88,TRUE,TRUE,FALSE,FALSE,44,0.393072244,120,48,2,-0.144303972401189,0.144303972401189,Non_essentialty,Non_specific,3,0.294141176666667,0.418681,3,0.29377151,0.418681,TRUE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","(2,3]","(0.353,0.5]",TRUE,FALSE
AAMDC,ENSG00000087884,11,6.85586115911403,Euteleostomi,Euteleostomi,1,1,429,1,,7,645,1943,414,0.597402597,693,137,12,41.82,18206,7,6,15039,1.58803846153846,2.76664576923077e-05,2.65625,0.28125,0.746,0.2772,0.2843,Tolerant,Tolerant,0.328820375,0.771645022,0.783679212,Intermediate pleiotropy,4th,8,78,,Singletons,12.2268393303204,High pleiotropy,5th,9,86,FALSE,FALSE,FALSE,FALSE,5,0.325202945,,23,26,-0.032688477418778,0.032688477418778,Non_essentialty,Non_specific,1,0.20389,0.20389,1,0.201766,0.201766,TRUE,FALSE,"[211,2.35e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.152,0.243]",TRUE,FALSE
AAMP,ENSG00000127837,2,8.88334737420897,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1714,3140,1305,0.691940615,1886,434,10,56.53,1534,11,10,1534,0.398375,0.99652,1.65942029,0.036231884,0.5122,0,0,Intolerant,Intolerant,0.012885592,,,High pleiotropy,5th,10,96,,Singletons,15.969586056417,High pleiotropy,5th,10,97,FALSE,FALSE,FALSE,FALSE,2,0.12173351,4,29,7,-1.20264361369541,1.20264361369541,Essentialty,Non_specific,1,0.43766,0.43766,1,0.437124,0.437124,TRUE,TRUE,"(2.35e+03,3.74e+03]","[1,1.92e+03]","[1,2]","(0.353,0.5]",TRUE,FALSE
AANAT,ENSG00000129673,17,7.35662377171951,Euteleostomi,Euteleostomi,1,1,429,1,2,3,544,2190,759,0.396759017,1913,252,4,53.01,3697,7,6,3697,1.14583333333333,0.00281341833333333,1.872727273,0.045454545,0.9687,0.0514,0.0519,Tolerant,Tolerant,0.084546299,0.192607004,0.113680154,High pleiotropy,5th,9,86,,Singletons,12.1723247312629,High pleiotropy,5th,9,86,TRUE,FALSE,FALSE,FALSE,7,0.997098566,8,40,38,-0.0796426917911478,0.0796426917911478,Non_essentialty,Specific,1,0.341171,0.341171,1,0.362393,0.362393,TRUE,TRUE,"[211,2.35e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.243,0.353]",TRUE,FALSE
AAR2,ENSG00000131043,20,7.78694722152771,Euteleostomi,Euteleostomi,1,1,429,1,,2,1488,3101,1155,0.429527705,2689,384,3,47.41,6798,4,3,3867,1.47242857142857,4.05896571428571e-11,2.171171171,0.126126126,0.6259,0.1435,0.1631,Tolerant,Tolerant,0.073334398,0.643205575,0.568362968,High pleiotropy,5th,10,91,,Singletons,10.2588625885555,Intermediate pleiotropy,4th,7,66,TRUE,FALSE,FALSE,FALSE,10,0.141899378,7,43,49,-0.0367587438743132,0.0367587438743132,Non_essentialty,Non_specific,2,0.1284987,0.1284987,2,0.1284987,0.1284987,FALSE,TRUE,"(2.35e+03,3.74e+03]","(4.34e+03,8.75e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
AARD,ENSG00000205002,8,5.99921601251428,Amniota,Amniota,3,3,319,3,,12,132,2412,468,0.203566768,2299,155,2,43.15,1308,2,1,1308,1.719,0.00042882,2.2,0.05,1.009,0.0094,0.0099,Tolerant,Tolerant,0.310208127,1.234042553,1.444444444,Intermediate pleiotropy,2nd,4,38,,Singletons,8.72039738317138,Intermediate pleiotropy,2nd,4,37,FALSE,FALSE,FALSE,FALSE,5,0.856926649,,16,19,-0.117856769064025,0.117856769064025,Non_essentialty,Specific,1,0.332278,0.332278,1,0.332418,0.332418,FALSE,FALSE,"(2.35e+03,3.74e+03]","[1,1.92e+03]","[1,2]","(0.243,0.353]",FALSE,FALSE
AARS,ENSG00000090861,16,6.26754718154164,,,,,,1,1,1,4290,4498,2907,0.836065574,3477,968,7,49.47,9943,21,20,9943,,,1.979885057,0.074712644,0.5922,0.0205,0.0288,,,0.037656197,0.048780488,0.038194444,Intermediate pleiotropy,3rd,6,58,,Singletons,10.026065881009,Intermediate pleiotropy,4th,7,62,FALSE,FALSE,TRUE,FALSE,,0.131812368,24,29,6,,,,Non_specific,1,0.212711,0.212711,1,0.497045,0.497045,FALSE,FALSE,"(3.74e+03,5.4e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.152,0.243]",FALSE,FALSE
AARS2,ENSG00000124608,6,5.78161429335446,Euteleostomi,Euteleostomi,1,1,429,1,,1,987,5242,2958,0.616506878,4798,985,2,54.43,3577,22,21,3577,0.7558,3.0443745528e-10,2.294117647,0.117647059,0.5985,0.0062,0.0137,Tolerant,Tolerant,0.157894737,0.225806452,0.437956204,Low pleiotropy,1st,2,19,,Singletons,8.42365820207848,Intermediate pleiotropy,2nd,4,31,FALSE,FALSE,FALSE,FALSE,6,0.224986331,5,49,7,-0.462348198174696,0.462348198174696,Non_essentialty,Non_specific,2,0.2444075,0.2444075,3,0.0803979333333333,0.0948258,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.243,0.353]",TRUE,FALSE
AARSD1,ENSG00000266967,17,6.57882861791272,Euteleostomi,Euteleostomi,1,1,429,1,,,987,3704,1239,0.938636364,1320,412,19,48.21,3254,12,11,3235,1.238,2.17690015952e-07,2.408333333,0.083333333,,,,Tolerant,Tolerant,,,,Intermediate pleiotropy,4th,8,71,,Singletons,9.94971155643553,Intermediate pleiotropy,4th,7,61,TRUE,FALSE,FALSE,FALSE,,0.300749686,1,8,21,-0.198211058079847,0.198211058079847,Non_essentialty,Non_specific,1,0.090212,0.090212,1,0.090212,0.090212,FALSE,FALSE,"(2.35e+03,3.74e+03]","(1.92e+03,4.34e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
AASDH,ENSG00000157426,4,5.70358906758738,Euteleostomi,Euteleostomi,1,1,429,1,1,1,987,4654,3297,0.920692544,3581,1098,10,38.98,10101,15,14,10095,0.9771,8.71676591334532e-08,2.645914397,0.13618677,0.6511,0.0037,0.0081,Tolerant,Tolerant,0.273537091,0.540540541,0.62962963,Low pleiotropy,1st,2,13,,Singletons,7.86799461910245,Intermediate pleiotropy,2nd,3,21,TRUE,FALSE,TRUE,FALSE,6,0.242125331,2,13,23,-0.162742947009317,0.162742947009317,Non_essentialty,Non_specific,1,0.181004,0.181004,2,0.0711575,0.0711575,FALSE,FALSE,"(3.74e+03,5.4e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.152,0.243]",TRUE,FALSE
AASDHPPT,ENSG00000149313,11,5.54784828536722,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1488,6003,930,0.336104084,2767,309,5,36.56,4551,6,5,4122,0.8468,0.0867776,2.5,0.119047619,0.5718,0,0.0291,Tolerant,Tolerant,0.072927597,,0.092783505,Low pleiotropy,1st,1,5,,Singletons,7.50292428888717,Low pleiotropy,1st,2,15,FALSE,FALSE,FALSE,FALSE,12,0.209344662,4,5,5,-0.345423951334869,0.345423951334869,Non_essentialty,Non_specific,2,0.09337455,0.09337455,2,0.09337455,0.09337455,FALSE,FALSE,"(5.4e+03,7.81e+03]","(4.34e+03,8.75e+03]","[1,2]","(0.0795,0.152]",TRUE,FALSE
AASS,ENSG00000008311,7,5.83762373297231,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1064,6664,2781,0.477424893,5825,926,7,36.4,13681,24,23,13680,0.96825,1.23277500000026e-08,2.43220339,0.101694915,0.5694,0.0138,0.0329,Tolerant,Tolerant,0.12627327,0.115942029,0.513677812,Intermediate pleiotropy,2nd,3,24,,Singletons,8.10454417202664,Intermediate pleiotropy,2nd,3,25,TRUE,FALSE,FALSE,TRUE,12,0.368084707,4,8,13,0.00397103389372348,-0.00397103389372348,Non_essentialty,Non_specific,2,0.10013675,0.10013675,3,0.0941435333333333,0.104544,FALSE,FALSE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.0795,0.152]",TRUE,FALSE
AATF,ENSG00000275700,17,6.0477982316319,Tetrapoda,Tetrapoda,2,2,352,2,2,,1714,4635,1683,0.816197866,2062,560,9,40.49,20784,12,11,20784,1.1124,8.92601173486e-07,2.18128655,0.105263158,0.5106,0.0096,0.0157,Tolerant,Tolerant,0.19898159,0.104166667,0.23566879,Intermediate pleiotropy,3rd,5,42,,Singletons,8.26091010879356,Intermediate pleiotropy,2nd,3,28,FALSE,FALSE,FALSE,TRUE,15,0.123563663,57,11,5,-0.80653210641938,0.80653210641938,Non_essentialty,Non_specific,4,0.08371875,0.06911175,3,0.0900092,0.0578041,FALSE,FALSE,"(3.74e+03,5.4e+03]","(1.93e+04,8.49e+05]","(3,61]","[0.00191,0.0795]",FALSE,FALSE
AATK,ENSG00000181409,17,7.16350443990791,Euteleostomi,Euteleostomi,1,1,429,1,1,7,645,6369,4125,0.755356162,5461,1374,11,61.49,13674,14,13,13674,1.62357142857143,0.0105707013885286,1.726608187,0.033625731,0.9896,0.0306,0.0415,Tolerant,Tolerant,0.155921584,0.238562092,0.253012048,High pleiotropy,5th,9,84,,Singletons,10.9956463454235,Intermediate pleiotropy,4th,8,76,TRUE,FALSE,FALSE,FALSE,11,0.674535375,,33,28,-0.192641607724807,0.192641607724807,Non_essentialty,Non_specific,2,0.2663225,0.2663225,2,0.2663225,0.2663225,FALSE,TRUE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","[1,2]","(0.243,0.353]",TRUE,FALSE
ABAT,ENSG00000183044,16,6.0394720265172,Euteleostomi,Euteleostomi,1,1,429,1,1,2,1064,9713,1503,0.269065521,5586,500,16,47.34,29002,16,15,19458,0.976689655172414,0.00694482631721589,1.923076923,0.06043956,0.6106,0.0117,0.0087,Tolerant,Tolerant,0.074516869,0.452991453,0.402298851,Intermediate pleiotropy,3rd,5,42,,Singletons,10.0487354862124,Intermediate pleiotropy,4th,7,63,TRUE,TRUE,FALSE,FALSE,18,0.52020508,25,15,68,-0.0315271926554196,0.0315271926554196,Non_essentialty,Non_specific,9,0.1218199,0.127263,8,0.0904615625,0.05273955,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","(3,61]","(0.0795,0.152]",TRUE,FALSE
ABCA1,ENSG00000165029,9,6.11983245788314,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1488,11264,6786,0.651998463,10408,2261,4,43.42,30399,50,49,30399,0.7816,0.00134330600093081,1.973013493,0.064467766,0.5052,0.0232,0.0234,Tolerant,Tolerant,0.047901821,0.465517241,0.491452991,Intermediate pleiotropy,3rd,5,48,,Singletons,10.5551798427103,Intermediate pleiotropy,4th,8,71,TRUE,TRUE,TRUE,FALSE,36,0.373348544,30,74,80,-0.0159017657404061,0.0159017657404061,Non_essentialty,Non_specific,10,0.16721399,0.0932665,8,0.1728498125,0.09020965,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","(3,61]","(0.0795,0.152]",TRUE,FALSE
ABCA10,ENSG00000154263,17,6.88260485328647,Tetrapoda,Tetrapoda,2,2,352,,1,1,382,8405,4632,0.728072933,6362,1543,12,36.13,19743,40,39,19594,1.26833333333333,0.00462366666666667,2.610215054,0.163978495,,0.0163,0.0196,Tolerant,Tolerant,,1.012269939,0.719387755,Intermediate pleiotropy,4th,8,79,780,Duplicates,10.5996560993243,Intermediate pleiotropy,4th,8,71,TRUE,FALSE,FALSE,FALSE,11,0.565522768,,20,20,-0.0352594875880624,0.0352594875880624,Non_essentialty,Non_specific,2,0.148058,0.148058,3,0.105642,0.122811,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","[1,2]","(0.0795,0.152]",FALSE,FALSE
ABCA12,ENSG00000144452,2,5.79955903798254,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1064,9614,7788,0.837599484,9298,2595,3,37.18,40781,53,52,40781,0.633666666666667,0.088648333349005,2.170662906,0.071932299,0.5085,0.0109,0.0147,Tolerant,Tolerant,0.113077679,0.28440367,0.176870748,Low pleiotropy,1st,2,20,,Singletons,7.79938047290043,Low pleiotropy,1st,2,19,FALSE,FALSE,FALSE,FALSE,11,0.974844075,,4,102,-0.000309035496453168,0.000309035496453168,Non_essentialty,Specific,4,0.1403654175,0.0768022,7,0.0970253428571429,0.0566828,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","(3,61]","[0.00191,0.0795]",TRUE,FALSE
ABCA13,ENSG00000179869,7,5.86580063540259,Tetrapoda,Tetrapoda,2,2,352,2,1,1,1064,19075,15177,0.882999767,17188,5058,8,38.84,95633,62,61,95633,1.07984615384615,6.79961538461539e-06,2.620486367,0.143699337,0.5536,0.0134,0.0169,Tolerant,Tolerant,0.41275289,0.611940299,0.644970414,Intermediate pleiotropy,2nd,3,26,,Singletons,8.32166830562042,Intermediate pleiotropy,2nd,3,29,TRUE,FALSE,TRUE,FALSE,35,0.962458522,54,28,3,-0.0256813071964717,0.0256813071964717,Non_essentialty,Specific,8,0.10774350625,0.06393035,9,0.18382658,0.102597,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","(3,61]","[0.00191,0.0795]",FALSE,FALSE
ABCA3,ENSG00000167972,16,5.51858030811593,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1064,7804,5115,0.774765223,6602,1704,6,53.03,16808,33,32,16798,0.672,0.0067400002003925,1.855029586,0.057692308,0.9273,0.0672,0.0317,Tolerant,Tolerant,0.067292138,0.21577381,0.104100946,Low pleiotropy,1st,1,4,,Singletons,10.8126161180726,Intermediate pleiotropy,4th,8,74,FALSE,FALSE,FALSE,FALSE,16,0.564425462,,14,36,0.151641417952773,-0.151641417952773,Non_essentialty,Non_specific,4,0.225074975,0.213583,4,0.227953775,0.2135705,FALSE,FALSE,"(5.4e+03,7.81e+03]","(8.75e+03,1.93e+04]","(3,61]","(0.152,0.243]",TRUE,FALSE
ABCA4,ENSG00000198691,1,6.08147969642446,Euteleostomi,Euteleostomi,1,1,429,1,1,1,1064,8547,6822,0.930949782,7328,2273,8,46.44,28074,50,49,28074,0.823666666666667,5.42333333333333e-22,2.406504065,0.162601626,0.4926,0.0159,0.0176,Tolerant,Tolerant,0.128298823,0.213836478,0.238636364,Intermediate pleiotropy,3rd,5,45,,Singletons,8.93460810685067,Intermediate pleiotropy,3rd,5,42,FALSE,FALSE,FALSE,FALSE,65,0.981497024,,48,6,-0.210421664032236,0.210421664032236,Non_essentialty,Specific,8,0.2551022875,0.258778,8,0.1568760875,0.098407,FALSE,FALSE,"(7.81e+03,1.19e+05]","(1.93e+04,8.49e+05]","(3,61]","(0.243,0.353]",TRUE,FALSE
